perturbagen,threshold,sd_m,sd_c,sd_n1,sd_a2,sd_a3,sd_ap,sd_a4,sd_c5
Broad-Sai-045,0.5,0.04652837815441225,0.05606663173378657,0.1688035060206939,0.23353810842066616,0.08099028758120011,0.07762682170302082,0.05604552637530313,0.09788076980044387
Broad-Sai-045,0.85,0.05049240177542342,0.06591148946401586,0.26160270847604283,0.3464602908668466,0.0971563468397517,0.09668497302076107,0.0899728427541982,0.11759802880494231
Broad-Sai-045,1,0.050771659765640985,0.07354938795407756,0.28238618477761207,0.38110785772738054,0.1067302220755758,0.1036769861809512,0.10504718742674386,0.12041173112845334
Broad-Sai-595,0,0.029995016501522136,0.04486883211857381,0.04033363027124605,0.04196718592462275,0.07069395989065362,0.06917876716507708,0.047886537004634536,0.0944096368467622
Broad-Sai-595,0.26,0.03153586677137412,0.0557870209483761,0.06863691974180608,0.0912373408964875,0.08428901393227162,0.08002585962150202,0.05541707968965268,0.10927695842348323
Broad-Sai-595,0.5,0.03502781689182314,0.05902851434172165,0.11834584073146835,0.16482383577914073,0.0959254694228292,0.09277234651381794,0.06354194949450943,0.12854959640108488
Broad-Sai-595,0.85,0.04021650090527328,0.05718720915458409,0.17701226923009514,0.2456919241820606,0.11669124363688946,0.10878813050763196,0.077767408380195,0.16186161981060693
Broad-Sai-595,1,0.04057917494098706,0.061625432759037625,0.20029204159003222,0.2630166984341315,0.12787829893699587,0.1183467688231152,0.0969188725608025,0.16860714592538514
BS-181,0,0.03770507322083978,0.04214641971881097,0.041591741426467994,0.02986575144324229,0.08121507617931803,0.07394881583992836,0.035504735642830146,0.12791053284098636
BS-181,0.26,0.039982332200352286,0.05881603400989716,0.07240000615172286,0.08120520538369116,0.10073508676590452,0.08840267194146408,0.03755879740357717,0.14660434049864737
BS-181,0.5,0.037641987754972066,0.06658526677295931,0.14848313332458174,0.1561892782680321,0.12655062456134247,0.11014166223235862,0.0423380294834304,0.16745347702931188
BS-181,0.85,0.042040187954946365,0.06042182348824346,0.17799452725172416,0.28554789770789446,0.14408662134596908,0.12607850354609937,0.03807003060581413,0.20412371750380365
BS-181,1,0.03897302156705178,0.07172043220397561,0.20065961024015927,0.3448071747045932,0.1486747221876215,0.1395983540882815,0.04051546889136678,0.2104197382424616
C30H33N3O5S,0,0.039709435452954,0.027883197214673295,0.020843329487368768,0.04073170471498124,0.052577104851986814,0.04996659020172962,0.023793179180792743,0.06449041726293943
